name,year,pop_n,pop_u,wat_bas_n,wat_lim_n,wat_unimp_n,wat_sur_n,wat_bas_r,wat_lim_r,wat_unimp_r,wat_sur_r,wat_bas_u,wat_lim_u,wat_unimp_u,wat_sur_u
Niue,2020,1.618000031,46.20200348,97.01087618,0,2.989123822,0,null,null,null,null,null,null,null,null
Cuba,2020,11326.61621,77.19400024,97.00269616,1.471384542,1.252811506,0.273107796,94.38665114,2.591752445,1.905972935,1.115623477,97.77557664,1.1403859,1.059840374,0.024197084
Russian Federation,2020,145934.4531,74.75400543,96.99254807,0.621996377,2.38545555,null,91.54410196,1.583163513,6.872734531,null,98.83259961,0.297389969,0.670010424,0.2
Saint Lucia,2020,183.6289978,18.8409996,96.88784457,1.815652166,1.296503269,0,96.81402383,1.734152255,1.451823918,0,97.20582219,2.166718886,0.627458924,0
Viet Nam,2020,97338.58594,37.34000015,96.88435687,0,3.115643126,0,95.51453844,0,4.48546156,0,99.18304001,0,0.816959987,0
Seychelles,2019,97.74099731,57.1190033,96.85174689,0,3.148253109,null,null,null,null,null,null,null,null,null
Mayotte,2015,240.0110016,46.98900223,96.83781128,0,0.282018467,2.880170256,null,null,null,null,null,null,null,null
Paraguay,2015,6688.746094,60.75,96.83621453,0.328424003,2.756768199,0.078593267,93.34470029,0.69766644,5.757395646,0.200237629,99.09204873,0.089859971,0.818091301,0
Iran (Islamic Republic of),2015,78492.21094,73.35800171,96.80698708,1.994891573,1.126061081,0.072060266,92.16250265,4.221624781,3.345396383,0.270476191,98.49376087,1.186191432,0.320047696,0
Antigua and Barbuda,2015,93.57099915,25,96.73918628,0,3.16634761,0.094466114,null,null,null,null,null,null,null,null
Antigua and Barbuda,2017,95.42500305,24.71300125,96.73918628,0,3.16634761,0.094466114,null,null,null,null,null,null,null,null
Dominican Republic,2020,10847.9043,82.54000092,96.68681192,0.46703865,1.269428783,1.576720644,90.30446437,1.385315508,1.115118127,7.195101991,98.03689158,0.272792036,1.302073396,0.388242992
Lithuania,2015,2931.87207,67.22999573,96.60413858,0,3.395861422,0,90.71848441,0,9.281515589,0,99.47299035,0,0.52700965,0
Belarus,2020,9449.321289,79.48300171,96.53472608,3.37211955,0.093154368,0,98.56412231,0.995597195,0.440280493,0,96.01087362,3.985572644,0.003553732,0
Russian Federation,2015,144985.0625,74.04999542,96.52715543,0.624486534,2.848358036,null,90.11010901,1.558364042,8.331526946,null,98.77593489,0.297219463,0.726845642,0.2
Belarus,2015,9439.423828,77.18099976,96.47706709,3.300130108,0.2228028,0,98.3306716,0.993239107,0.67608929,0,95.92903518,3.982175393,0.088789424,0
West Bank and Gaza Strip,2015,4529.160156,75.36799622,96.37985671,0.587534664,3.032608622,null,95.38114235,0.992731209,3.626126441,null,96.70625962,0.45510708,2.838633298,null
Mayotte,2020,272.8129883,45.75099945,96.37117971,0,3.628820295,null,null,null,null,null,null,null,null,null
Colombia,2015,47520.66797,79.76399994,96.33586812,0.18405199,1.703445062,1.776634827,83.27372585,0.687665626,7.259032355,8.779576172,99.64971237,0.05628603,0.294001603,0
Turkey,2015,78529.41406,73.61100006,96.25615912,2.026747602,1.518870713,0.198222567,94.20388299,2.633656944,2.740460064,0.422,96.99188504,1.809175058,1.080939898,0.118
Seychelles,2015,94.98100281,55.40000153,96.2508915,0,0,3.749108502,null,null,null,null,null,null,null,null
Bhutan,2015,727.8850098,38.6780014,96.22142259,2.496596292,0.296187375,0.985793738,95.16436295,3.215858941,0.193598701,1.426179411,97.89733678,1.356242032,0.458836489,0.287584704
Bosnia and Herzegovina,2015,3429.362061,47.17299652,96.15984418,3.780069975,0.060085849,0,97.33333333,2.666666667,0,0,94.8457044,5.026922206,0.127373393,0
Cayman Islands,2015,61.72100067,100,96.125,0,3.875,0,null,null,null,null,96.125,0,3.875,0
Cayman Islands,2016,62.56399918,100,96.125,0,3.875,0,null,null,null,null,96.125,0,3.875,0
Bosnia and Herzegovina,2020,3280.814941,49.02000046,96.11389762,3.823663938,0.062438438,0,97.33333333,2.666666667,0,0,94.8457044,5.026922206,0.127373393,0
Dominican Republic,2015,10281.6748,78.56600189,96.0993385,0.695212216,1.550594498,1.654854791,89.21104378,1.822877161,2.441888623,6.52419044,97.97856981,0.387568108,1.307435937,0.326426144
Azerbaijan,2020,10139.1748,56.39700317,96.04337613,1.04278118,2.913842688,0,90.92579795,2.391535671,6.682666377,0,100,0,0,0
Cuba,2015,11324.77734,76.89600372,95.87179647,1.750253789,1.99464,0.383309736,90.44506066,3.362197131,4.747322467,1.445419738,97.50230137,1.2659329,1.167575187,0.064190542
Georgia,2015,4024.179932,57.44799805,95.75472951,0.951964558,3.239894931,0.053410995,91.29515059,1.893756292,6.700216388,0.110876732,99.05796545,0.254375086,0.676813605,0.010845859
